Agency name;Country;Link;Players;Players 1st tier;Rumors;Total market value;ø-Market value;Street;ZIP, location;Phone;Fax;Email;Website
Galka Scouting Football, S.L.;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=4564;15;6;-;€3.80m;€253k;-;-;-;-;-;-
GFOOT MANAGEMENT;France;https://www.transfermarkt.com/berater/beraterfirma?id=7384;3;1;-;€3.80m;€1.27m;-;-;-;-;-;-
Hugo Gaona;Paraguay;https://www.transfermarkt.com/berater/beraterfirma?id=10674;23;10;-;€3.78m;€164k;-;-;-;-;-;-
TDL COMPANY;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=12209;13;5;-;€3.78m;€290k;-;-;-;-;-;-
Sport.Agency;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=7417;14;2;-;€3.78m;€270k;Furtherstraße 81-83;50769, Köln;-;;-;www.sport.agency
B.C Football Agency;France;https://www.transfermarkt.com/berater/beraterfirma?id=6321;27;15;-;€3.75m;€139k;-;-;-;-;-;-
Supervision Management;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=4110;12;8;-;€3.75m;€313k;-;-;-;-;-;-
Kamel Lahmar;Tunisia;https://www.transfermarkt.com/berater/beraterfirma?id=9090;9;5;-;€3.73m;€414k;-;-;-;-;-;-
K Football Solutions PC;Greece;https://www.transfermarkt.com/berater/beraterfirma?id=11700;23;4;2;€3.73m;€162k;Agion Anargiron 21;17564, P Faliro Athens;+30 6982003782;;th.karasavvidis@gmail.com;
Athlete Management Ltd.;Bulgaria;https://www.transfermarkt.com/berater/beraterfirma?id=7056;10;4;-;€3.70m;€370k;-;-;-;-;-;-
SPE SPORTSINVEST HOLDING LTDA;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=12502;7;3;-;€3.70m;€529k;-;-;-;-;-;-
M&Y Management;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3955;9;3;-;€3.70m;€411k;-;-;-;-;-;-
ALFA MANAGEMENT SRL;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=5141;2;2;-;€3.70m;€1.85m;-;-;-;-;-;-
Pro Evolution Players s.l.;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=3941;22;1;-;€3.70m;€168k;-;Barcelona;+34 671 780 171;-;info@proevoplayers.com;-
Football&Logics;Russia;https://www.transfermarkt.com/berater/beraterfirma?id=6374;42;9;-;€3.68m;€88k;-;-;-;-;-;-
Giallanza Sport GmbH;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=2740;11;4;1;€3.68m;€334k;-;-;-;-;-;-
AG Consulting and Management;Lithuania;https://www.transfermarkt.com/berater/beraterfirma?id=8652;18;14;-;€3.65m;€203k;-;-;-;-;-;-
World of Soccer;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=4675;15;7;1;€3.65m;€243k;Wurzerstraße 11;80539, München;-;;8worldofsoccer@gmail.com;
Only Pro Sport;France;https://www.transfermarkt.com/berater/beraterfirma?id=8380;6;1;-;€3.65m;€608k;-;-;-;-;-;-
M.Cruz Gestão Esportiva;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=11816;5;1;-;€3.65m;€730k;-;-;-;-;-;-
Lukas Sport Management & Consulting;North Macedonia;https://www.transfermarkt.com/berater/beraterfirma?id=6376;8;8;-;€3.63m;€453k;-;-;-;-;-;-
Tim Pole;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=8800;2;1;1;€3.60m;€1.80m;-;-;-;-;-;-
NB Football Agency;Hungary;https://www.transfermarkt.com/berater/beraterfirma?id=9845;45;10;-;€3.59m;€80k;-;-;-;-;-;-
Sport Interactive SPIN;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=1724;13;7;2;€3.58m;€275k;-;-;-;-;-;-
act SPORTS GROUP;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=202;20;3;-;€3.58m;€179k;-;-;-;-;-;-
GSM SPAIN;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=4884;46;1;-;€3.58m;€78k;-;-;-;-;-;-
Diamond Sports Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=4030;20;6;2;€3.55m;€178k;-;-;-;-;-;-
Aldagroup;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=11138;8;6;-;€3.55m;€444k;-;-;-;-;-;-
Professional Football Network D.O.O.;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=6053;9;6;-;€3.55m;€394k;-;-;-;-;-;-
EA Sport;Russia;https://www.transfermarkt.com/berater/beraterfirma?id=10835;16;16;-;€3.53m;€220k;-;-;-;-;-;-
Mamu Lomidze;Slovakia;https://www.transfermarkt.com/berater/beraterfirma?id=6139;15;10;-;€3.53m;€235k;-;-;-;-;-;-
Football point d.o.o.;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=8157;12;1;-;€3.53m;€294k;-;Zagreb;3,85998E+11;-;ivanrukavina.hr@gmail.com;-
Ramzi Company;Morocco;https://www.transfermarkt.com/berater/beraterfirma?id=12895;31;25;-;€3.51m;€113k;-;-;-;-;-;-
GoalSky GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1372;39;-;-;€3.51m;€90k;-;-;-;-;-;-
Hy Sports Agency;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=7419;15;7;-;€3.50m;€233k;-;-;-;-;-;-
Simbioze Football;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=5591;19;4;-;€3.50m;€184k;-;-;-;-;-;-
Roger Boli;France;https://www.transfermarkt.com/berater/beraterfirma?id=963;15;2;-;€3.50m;€233k;-;-;-;-;-;-
Lasana KOITA;France;https://www.transfermarkt.com/berater/beraterfirma?id=10429;1;1;1;€3.50m;€3.50m;-;-;33617648058;;n2ksport@gmail.com;
Inspokorea Co., Ltd.;Korea, South;https://www.transfermarkt.com/berater/beraterfirma?id=11023;1;1;-;€3.50m;€3.50m;-;-;-;-;-;-
Golden Team Representacao Limitada;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=12765;1;1;-;€3.50m;€3.50m;-;-;-;-;-;-
Bernard Collignon;France;https://www.transfermarkt.com/berater/beraterfirma?id=3327;9;1;-;€3.50m;€389k;-;-;-;-;-;-
ELIFA Elite Football Agency;France;https://www.transfermarkt.com/berater/beraterfirma?id=12353;3;1;-;€3.50m;€1.17m;-;-;-;-;-;-
Lequipe 365;Thailand;https://www.transfermarkt.com/berater/beraterfirma?id=6503;36;20;-;€3.48m;€97k;-;-;-;-;-;-
Route 1 Sports;Korea, South;https://www.transfermarkt.com/berater/beraterfirma?id=6033;11;4;-;€3.48m;€316k;-;-;-;-;route1sports.global@gmail.com;-
Ivan Reyes;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=9023;25;12;-;€3.45m;€138k;-;-;-;-;-;-
FranMa Scouting and Intermediary LLC;United States;https://www.transfermarkt.com/berater/beraterfirma?id=6309;18;8;-;€3.45m;€192k;-;-;-;-;-;-
feel soccer Greece;Greece;https://www.transfermarkt.com/berater/beraterfirma?id=11306;16;7;-;€3.45m;€216k;-;Athens;-;-;info@feelsoccergreece.gr;https://feelsoccergreece.gr/
SHOW DE BOLA LTD.;Japan;https://www.transfermarkt.com/berater/beraterfirma?id=7560;19;4;-;€3.45m;€182k;-;-;-;-;-;-
RJ Assessoria e Marketing;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=7664;11;3;-;€3.45m;€314k;-;-;-;-;-;-
M.E.H. Sports Agency;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=11282;9;2;1;€3.45m;€383k;-;-;-;-;-;-
Football Management Forever Hungary Kft;Hungary;https://www.transfermarkt.com/berater/beraterfirma?id=8282;13;5;2;€3.44m;€264k;-;-;-;-;-;-
Shekoo Stars Agency;Malaysia;https://www.transfermarkt.com/berater/beraterfirma?id=7995;22;13;-;€3.43m;€156k;-;-;-;-;-;-
ProSoccer24;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1305;24;8;-;€3.43m;€143k;-;-;-;-;-;-
Ariel Brandoni;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=11598;18;6;-;€3.41m;€189k;-;-;-;-;-;-
TADEX SPORT AGENCY;Montenegro;https://www.transfermarkt.com/berater/beraterfirma?id=8444;10;9;-;€3.40m;€340k;-;-;-;-;-;-
Extra Time Sports Group;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=11733;23;2;-;€3.40m;€148k;-;-;-;-;-;-
Miroslav Bicanic;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=2003;17;6;-;€3.38m;€199k;-;-;-;-;-;-
AO Sports Management;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=7840;7;4;-;€3.38m;€482k;-;-;-;-;-;-
The All Management;Korea, South;https://www.transfermarkt.com/berater/beraterfirma?id=6661;19;6;-;€3.35m;€176k;-;-;-;-;-;-
Oguzhan Guclu;France;https://www.transfermarkt.com/berater/beraterfirma?id=5459;6;4;-;€3.35m;€558k;-;-;-;-;-;-
GoSport Agency e.U.;Austria;https://www.transfermarkt.com/berater/beraterfirma?id=9574;24;10;1;€3.33m;€139k;-;-;-;-;-;-
International Association of Football Agents;Belarus;https://www.transfermarkt.com/berater/beraterfirma?id=4941;7;6;-;€3.33m;€475k;-;-;-;-;-;-
Astonick;Japan;https://www.transfermarkt.com/berater/beraterfirma?id=9180;23;3;-;€3.33m;€145k;-;Toranomon Minato;-;-;info@sogood.group;https://www.astonick.com/
The Goal Management & Consulting;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=9958;6;2;-;€3.33m;€554k;Zorlu Center, Beşiktaş;34353, Istanbul;+90 532 4972382;-;thegoalmanagement@gmail.com;-
Agents Team S.R.L;Romania;https://www.transfermarkt.com/berater/beraterfirma?id=8616;12;9;1;€3.30m;€275k;-;-;-;-;-;-
Sports360 Argentina;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=12707;18;7;-;€3.30m;€183k;-;-;-;-;-;-
MLA Management;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=1267;11;5;-;€3.30m;€300k;-;-;-;-;-;-
Goodman Sports LDA;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=5585;17;5;-;€3.30m;€194k;-;-;-;-;-;-
LW Sports Agency;Korea, South;https://www.transfermarkt.com/berater/beraterfirma?id=12742;13;4;-;€3.30m;€254k;-;-;-;-;-;-
Zoran Stojadinovic;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=701;9;3;-;€3.30m;€367k;-;-;-;-;-;-
SunX, Inc.;Japan;https://www.transfermarkt.com/berater/beraterfirma?id=7978;15;4;-;€3.30m;€220k;-;-;-;-;-;-
Assist Sport Casa;Morocco;https://www.transfermarkt.com/berater/beraterfirma?id=5540;21;10;-;€3.29m;€156k;-;-;-;-;-;-
The Roots;Korea, South;https://www.transfermarkt.com/berater/beraterfirma?id=11946;18;7;-;€3.28m;€182k;-;-;-;-;-;-
Sport Business SOCCER GbR;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1676;19;2;-;€3.28m;€172k;-;-;-;-;-;-
Goldsports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=7078;11;3;-;€3.25m;€295k;-;-;-;-;-;-
Elite Athletes;France;https://www.transfermarkt.com/berater/beraterfirma?id=6749;9;2;-;€3.25m;€361k;-;-;-;-;-;-
Uruguay Soccer;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=4022;9;2;-;€3.25m;€361k;-;-;-;-;-;-
Footmedia Co.,Ltd;Japan;https://www.transfermarkt.com/berater/beraterfirma?id=5930;23;2;-;€3.25m;€141k;-;-;-;-;-;-
Bpoint;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=9006;4;1;-;€3.25m;€813k;-;-;-;-;-;-
Qigsports;France;https://www.transfermarkt.com/berater/beraterfirma?id=10519;5;1;4;€3.25m;€650k;-;-;-;-;-;-
D1MON1OS s.r.l. - avv. Filippo Pirisi;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=5161;45;2;-;€3.24m;€72k;-;-;-;-;-;-
Sebastián Revetria;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=6650;8;5;-;€3.23m;€403k;-;-;-;-;-;-
Yasin Çıplak;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=11869;16;4;-;€3.23m;€202k;-;-;-;-;-;-
Vratar';Russia;https://www.transfermarkt.com/berater/beraterfirma?id=11417;8;4;-;€3.23m;€403k;-;-;-;-;-;-
Adrián del Nido;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=12118;17;1;-;€3.23m;€190k;-;-;-;-;-;-
FUTGLOBALL SAS;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=11735;16;3;-;€3.22m;€201k;-;-;-;-;-;-
Milen Georgiev;Bulgaria;https://www.transfermarkt.com/berater/beraterfirma?id=3326;23;6;-;€3.20m;€139k;-;-;-;-;-;-
Wöchmaker;United States;https://www.transfermarkt.com/berater/beraterfirma?id=10837;20;2;1;€3.20m;€160k;-;-;-3921;-;wochmaker@gmail.com;www.wochmaker.com
Pando Performance;Norway;https://www.transfermarkt.com/berater/beraterfirma?id=7160;1;1;-;€3.20m;€3.20m;Holmenveien 5C;0374 , Oslo;4791185966;;-;www.pandoperformance.com
37 Sport Management Ltd;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=9642;14;-;-;€3.20m;€229k;-;-;-;-;-;-
Tornado Sports Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=7273;33;-;-;€3.19m;€97k;-;-;-;-;-;-
The Billionaire Sport Management Ltd.;Thailand;https://www.transfermarkt.com/berater/beraterfirma?id=11814;21;16;-;€3.18m;€151k;-;-;-;-;-;-
Eurasian Sport Management;Kazakhstan;https://www.transfermarkt.com/berater/beraterfirma?id=7278;15;8;-;€3.18m;€212k;-;-;-;-;-;-
JPF SPORTS AGENCY;United Arab Emirates;https://www.transfermarkt.com/berater/beraterfirma?id=5259;8;6;-;€3.18m;€397k;-;-;-;-;-;-
Três em Um Assessoria e Representação;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=11783;13;5;-;€3.18m;€244k;-;-;-;-;-;-
Global Ballgames a.s.;Czech Republic;https://www.transfermarkt.com/berater/beraterfirma?id=4046;67;2;-;€3.18m;€47k;-;-;-;-;-;-
Simpre LLC;Japan;https://www.transfermarkt.com/berater/beraterfirma?id=8340;10;2;-;€3.18m;€318k;-;-;-;-;-;-
Murza Eduard;Ukraine;https://www.transfermarkt.com/berater/beraterfirma?id=5555;2;1;-;€3.18m;€1.59m;-;-;-;-;-;-
Remi Wulff;Norway;https://www.transfermarkt.com/berater/beraterfirma?id=4146;23;9;-;€3.15m;€137k;Lindløkka 48;1387, Asker;+47 90990036;;remiwulff1@gmail.com;
Miguel Pedrajo;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=6251;11;3;-;€3.15m;€286k;-;-;-;-;-;-
Olafur Gardarsson & Football Mix B.V.;Iceland;https://www.transfermarkt.com/berater/beraterfirma?id=4839;3;2;-;€3.15m;€1.05m;-;-;-;-;-;-
KV Sports Management;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=7206;4;2;-;€3.15m;€788k;-;-;-;-;-;-
Status Sport World S.L;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=9697;31;2;-;€3.15m;€102k;-;-;-;-;-;-
Fortitude Sports Management Int;Ireland;https://www.transfermarkt.com/berater/beraterfirma?id=6728;5;-;-;€3.15m;€630k;-;-;-;-;-;-
GlobalGroup11;Estonia;https://www.transfermarkt.com/berater/beraterfirma?id=3582;10;6;-;€3.14m;€314k;-;-;-;-;-;-
MAC Menejerlik ve Danismanlik;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=7333;11;6;-;€3.14m;€285k;-;-;-;-;-;-
YUNiK Management;Hungary;https://www.transfermarkt.com/berater/beraterfirma?id=10627;13;5;1;€3.14m;€241k;-;-;-;-;-;-
Intermediary Consulting Group 1983;Poland;https://www.transfermarkt.com/berater/beraterfirma?id=5273;19;8;-;€3.13m;€164k;-;-;-;-;-;-
AK SPORT AGENCY;Bosnia-Herzegovina;https://www.transfermarkt.com/berater/beraterfirma?id=1931;14;6;-;€3.13m;€223k;-;-;-;-;-;-
Effes Group;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=7600;10;3;1;€3.13m;€313k;-;-;-;-;-;-
Aggy Eka Ressy;Indonesia;https://www.transfermarkt.com/berater/beraterfirma?id=8040;47;10;2;€3.12m;€66k;-;-;-;-;-;-
RJ Sport Group;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=7652;20;4;-;€3.11m;€156k;-;-;-;-;-;-
Soca HQ;United States;https://www.transfermarkt.com/berater/beraterfirma?id=11837;33;5;-;€3.10m;€94k;-;-;-;-;-;-
Ferreira Representações Profissionais;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=7835;8;4;-;€3.10m;€388k;-;-;-;-;-;-
Toninello Futebol e Carreira;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=9861;14;3;-;€3.10m;€221k;-;-;-;-;-;-
The Special One;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=5153;7;3;-;€3.10m;€443k;-;-;-;-;-;-
AMB Sports Management;Egypt;https://www.transfermarkt.com/berater/beraterfirma?id=12882;30;28;-;€3.08m;€103k;-;-;-;-;-;-
Aspire Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=3657;16;10;1;€3.08m;€192k;-;-;-;-;-;-
Kruna Soccer;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=11517;9;7;-;€3.08m;€342k;-;-;-;-;-;-
Ballex;Finland;https://www.transfermarkt.com/berater/beraterfirma?id=4967;5;5;-;€3.08m;€615k;-;-;-;-;-;-
XFANS INTERNACIONAL, SL;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=6913;13;5;-;€3.08m;€237k;-;-;-;-;-;-
Zone 58 Group Sarl;Morocco;https://www.transfermarkt.com/berater/beraterfirma?id=4417;38;4;1;€3.08m;€81k;-;-;-;-;-;-
Domenica Sports Argentina;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=3804;13;6;1;€3.05m;€235k;-;-;-;-;-;-
Gareppe Agency Soccer;Paraguay;https://www.transfermarkt.com/berater/beraterfirma?id=12052;11;4;-;€3.05m;€277k;Aca Caraya - Ed. La Victoria;100101, Ciudad del Este;5,51198E+12;;-;
XINEF EVENTOS LTDA.;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=11573;23;4;-;€3.05m;€133k;-;-;-;-;-;-
Cesifut;Mexico;https://www.transfermarkt.com/berater/beraterfirma?id=7158;12;3;-;€3.05m;€254k;-;-;-;-;-;-
MVD Sports Group;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=9145;6;3;-;€3.05m;€508k;-;-;-;-;-;-
CRM Assessoria Esportiva;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=10028;31;2;-;€3.05m;€98k;-;-;-;-;-;-
F.J.VILLAVERDE;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=5474;7;1;-;€3.05m;€436k;-;-;-;-;-;-
Soyuz Sports;Russia;https://www.transfermarkt.com/berater/beraterfirma?id=6325;18;7;-;€3.03m;€168k;-;-;-;-;-;-
Gorré Soccer Management B.V;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=3769;19;6;-;€3.03m;€159k;-;-;-;-;-;-
Alliance Sportsmanagement AG;Liechtenstein;https://www.transfermarkt.com/berater/beraterfirma?id=2421;17;4;-;€3.03m;€178k;-;-;-;-;-;-
BWM Fodbold;Denmark;https://www.transfermarkt.com/berater/beraterfirma?id=10642;27;3;-;€3.03m;€112k;-;-;-;-;-;-
Lighthouse Football;Finland;https://www.transfermarkt.com/berater/beraterfirma?id=3428;24;16;-;€3.01m;€125k;-;-;-;-;-;-
Scandinavian Football Investments;Finland;https://www.transfermarkt.com/berater/beraterfirma?id=3772;9;6;-;€3.01m;€334k;-;-;-;-;-;-
MI Sports Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=6183;63;15;-;€3.00m;€48k;-;-;-;-;-;-
Julian Ortiz OMS;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=12597;14;10;1;€3.00m;€214k;-;-;-;-;-;-
Selection Fussballconsulting GmbH;Austria;https://www.transfermarkt.com/berater/beraterfirma?id=2404;41;8;-;€3.00m;€73k;Adalbert Stifter Str. 9a;9500, Villach;+43 (0)676-847676603;;weber@fcselection.at;http://www.fcselection.at
IG Sports Management;Romania;https://www.transfermarkt.com/berater/beraterfirma?id=9856;11;7;2;€3.00m;€273k;-;-;-;-;-;-
Eleven Assessoria e Gestao Esportiva Ltda.;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=7779;31;4;-;€3.00m;€97k;-;-;-;-;-;-
athletes first sportmanagement GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2444;8;3;-;€3.00m;€375k;-;-;-;-;-;-
Ntl Group;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=10120;1;1;-;€3.00m;€3.00m;-;-;-;-;info@ntlgroup.eu;-
F&H Sport Management;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=11478;1;1;-;€3.00m;€3.00m;-;-;-;-;-;-
KS LawFirm;France;https://www.transfermarkt.com/berater/beraterfirma?id=10889;3;1;-;€3.00m;€1.00m;-;-;-;-;-;-
Fobalsport 2000;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=6954;2;1;-;€3.00m;€1.50m;-;-;-;-;-;-
Oscar Damiani;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=110;19;1;1;€3.00m;€158k;-;-;-;-;-;-
Vergette Sports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=3194;1;1;-;€3.00m;€3.00m;-;-;-;-;-;-
Nikolaos Zafeiropoulos;Greece;https://www.transfermarkt.com/berater/beraterfirma?id=7049;30;-;-;€3.00m;€100k;-;-;-;-;-;-
Young Football Talents;Cyprus;https://www.transfermarkt.com/berater/beraterfirma?id=4756;19;11;-;€2.99m;€157k;-;-;-;-;-;-
NINE Sports Management;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=10770;10;4;-;€2.98m;€298k;-;-;-;-;-;-
First Team Soccer agency;United States;https://www.transfermarkt.com/berater/beraterfirma?id=8537;30;3;-;€2.98m;€99k;-;-;-;-;-;-
Fedele Management S.r.l;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=394;25;2;-;€2.98m;€119k;-;-;-;-;-;-
Green Soccer - Giancarlo Tronchetti;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=7224;24;-;-;€2.96m;€123k;-;-;-;-;-;-
PANDA SPORT MANAGEMENT;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=4524;68;2;-;€2.96m;€43k;-;-;-;-;-;-
K3 Sportmanagement GmbH;Bosnia-Herzegovina;https://www.transfermarkt.com/berater/beraterfirma?id=4578;16;8;-;€2.95m;€184k;-;-;-;-;-;-
Rosko Company;Greece;https://www.transfermarkt.com/berater/beraterfirma?id=6489;19;6;2;€2.95m;€155k;-;-;-;-;-;-
G7 Football Investment;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=11831;7;2;-;€2.95m;€421k;-;-;-;-;-;-
InsideSport Conseils SARL;France;https://www.transfermarkt.com/berater/beraterfirma?id=5831;7;1;-;€2.95m;€421k;-;-;-;-;-;-
T21plus Sportsmanagement GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1313;7;-;-;€2.95m;€421k;-;-;-;-;-;-
KM International Agent;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=12229;107;21;-;€2.93m;€27k;-;-;-;-;-;-
YOUNG PLAYER;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1206;12;1;-;€2.93m;€244k;-;-;-;-;-;-
Infiniti Sport;Iran;https://www.transfermarkt.com/berater/beraterfirma?id=8231;11;9;1;€2.91m;€265k;-;-;-;-;-;-
Sport Mission;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=7313;23;7;-;€2.90m;€126k;-;-;-;-;-;-
International Onside Group Sports;Sweden;https://www.transfermarkt.com/berater/beraterfirma?id=12295;35;4;-;€2.90m;€83k;-;-;-;-;-;-
Future Soccer Inc.;Canada;https://www.transfermarkt.com/berater/beraterfirma?id=5442;14;3;-;€2.90m;€207k;-;-;-;-;-;-
Superior Sports Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=6912;29;2;-;€2.90m;€100k;-;-;-;-;-;-
Absolute Sports Consultants;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=6197;8;2;-;€2.90m;€363k;-;-;-;-;-;-
PHsport;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=8087;30;1;1;€2.90m;€97k;-;-;-;-;-;-
Stars For Tomorrow;Bulgaria;https://www.transfermarkt.com/berater/beraterfirma?id=3253;51;18;-;€2.88m;€56k;-;-;-;-;-;-
Agencia David Copito;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=7635;109;7;-;€2.85m;€26k;-;-;-;-;-;-
NEWROFOOT SPORTS MANAGEMENT LDA;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=2651;15;2;1;€2.85m;€190k;-;-;-;-;-;-
MINA Asesoría Deportiva;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=12480;2;2;1;€2.85m;€1.43m;-;-;-;-;-;-
Garik Khachaturov;Russia;https://www.transfermarkt.com/berater/beraterfirma?id=9232;5;2;-;€2.85m;€570k;-;-;-;-;-;-
Exceptional Player's;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=6094;38;12;-;€2.84m;€75k;-;-;-;-;-;-
Lee Fratelli;Australia;https://www.transfermarkt.com/berater/beraterfirma?id=10144;28;12;-;€2.83m;€101k;-;-;-;-;-;-
Diego Solarte South.american.players;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=5975;14;6;-;€2.83m;€202k;-;-;-;-;-;-
Fella Sports Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=8716;9;4;-;€2.83m;€314k;-;-;-;-;-;-
Colossal Sports Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=3692;4;2;-;€2.83m;€706k;-;-;-;-;-;-
Versus11 Sports and Marketing Agency Ltd;Cyprus;https://www.transfermarkt.com/berater/beraterfirma?id=7242;25;9;-;€2.81m;€112k;-;-;-;-;-;-
Urban Sports Capital;Luxembourg;https://www.transfermarkt.com/berater/beraterfirma?id=6654;2;1;-;€2.81m;€1.41m;-;-;-;-;-;-
YB International Football Agency;Israel;https://www.transfermarkt.com/berater/beraterfirma?id=8161;18;5;-;€2.80m;€156k;-;-;9,72528E+11;-;yb.agency10@gmail.com;-
Brain Sports Media;United Arab Emirates;https://www.transfermarkt.com/berater/beraterfirma?id=6067;21;4;-;€2.80m;€133k;-;-;-;-;-;-
Ariel Sports Consulting Srl;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=7691;10;2;-;€2.80m;€280k;-;-;-;-;-;-
KTM AVOCATS;France;https://www.transfermarkt.com/berater/beraterfirma?id=7606;2;1;-;€2.80m;€1.40m;-;-;-;-;-;-
CHJ Management;Denmark;https://www.transfermarkt.com/berater/beraterfirma?id=6388;2;-;-;€2.80m;€1.40m;Nr. Bjertvej 103;6000, Kolding;4520842155;-;ch@chjm.dk;chjm.dk
AK10 STARS;Slovenia;https://www.transfermarkt.com/berater/beraterfirma?id=4841;15;4;-;€2.79m;€186k;-;-;-;-;-;-
Pan American Calcio;United States;https://www.transfermarkt.com/berater/beraterfirma?id=3315;41;15;-;€2.78m;€68k;-;-;-;-;-;-
